Medication,Code_Type,Code,include_james,include_dorsa,include_consensus,include_james 2,Unnamed: 7,include_final
Aminocaproic acid 250 mg/ml solution,BWH_CC,908897,0,0,True,,,0
Sulfamethoxazole/trimethoprim 800 -160mg tablet 100 ea blist pack,BWH_CC,950338,1,1,True,,,1
"Amoxicillin-Potassium Clavulanate 1,000 mg-62.5 mg Tablet,Ext.Rel 12hr",EPIC-MED,33862,0,0,True,,,0
Doxylamine-Pe-Dm-Acetaminophen 6.25 mg-5 mg-10 mg-325mg/15ml Oral Liqd,EPIC-MED,77082,0,0,True,,,0
Acetaminophen 300 mg-Codeine 60 mg Tablet,EPIC-MED,8950,0,0,True,,,0
Acetaminophen 325 mg capsule,EPIC-MED,189877,0,0,True,,,0
Doxylamine-Dm-Acetaminophen 6.25 mg-15 mg-325 mg Capsule,EPIC-MED,42186,0,0,True,,,0
Butalbital-Acetaminophen-Caffeine 50 mg-325 mg-40 mg/15 ml Oral Soln,EPIC-MED,35685,0,0,True,,,0
Azithromycin 1 Gram Oral Packet,EPIC-MED,15284,1,1,True,,,1
"Rotavirus vaccine, tetravalent, live, for oral use",CPT,90680,0,0,True,,,0
Trimethoprim/sulfamethoxazole suspension - LMR 1256,LMR,1256,1,1,True,,,1
Amoxicillin/clav.susp 250 mg/62.5mg (5 ml) - LMR 1105,LMR,1105,0,0,True,,,0
Acetaminophen 60 mg/0.6ml drop 0.6ml oral syringe,BWH_CC,941966,0,0,True,,,0
Azithromycin 250mg tablet 50 ea blist pack,BWH_CC,946138,1,1,True,,,1
Tetracaine hydrochloride ophthalmic 0.5% solution,BWH_CC,903018,0,0,True,,,0
Doxycycline hyclate 100mg capsule 500 ea bottle,BWH_CC,945528,1,1,True,,,1
Zithromax iv 500mg powder for injection,BWH_CC,911478,0,0,True,,,0
Doxycycline hyclate 100 mg tablet to-go (MGH cdh),EPIC-MED,707536,1,1,True,,,1
Tetrahydrozoline 0.05 %-Zinc 0.25 % Eye Drops,EPIC-MED,11523,0,0,True,,,0
Lidocaine-Epinephrine-Tetracaine Topical Soln Cmpd NWH_MGH,EPIC-MED,700821,0,0,True,,,0
Minoxidil 5 % Topical Foam,EPIC-MED,77279,0,0,True,,,0
Minoxidil tab 2 < 5mg u,MGH_CC,825560,0,0,True,,,0
Acetaminophen 100 mgml 1ml ora,MGH_CC,980,0,0,True,,,0
Doxycycline hyclate hyclate 100mg tablet,MGH_CC,735120,1,1,True,,,1
Minoxidil - LMR 501,LMR,501,0,0,True,,,0
Pramoxine + hydrocortisone 2.5% - LMR 2421,LMR,2421,0,0,True,,,0
Minoxidil-oncall,ONCALL,MTAR2,0,0,True,,,0
Oxycodone 2.5 mg/acetaminophen 325mg - LMR 3371,PAML-LMR,3371,0,0,True,,,0
Minoxidil - LMR 501,PAML-LMR,501,0,0,True,,,0
Azithromycin 250mg pack (z-pak) - LMR 4494,PAML-LMR,4494,1,1,True,,,1
Amoxicillin trihydrate 250mg capsule 100 ea blist pack,BWH_CC,942632,1,1,True,,,1
Butalb/acetaminophen/caffeine 325 -40 -50mg tablet 100 ea blist pack,BWH_CC,947882,0,0,True,,,0
Cephalexin 250mg capsule,MGH_CC,216700,1,1,True,,,1
Doxycycline 100mg tablet,MGH_CC,351200,1,1,True,,,1
Acetaminophen 650mg suppos,MGH_CC,3000,0,0,True,,,0
Trimox 250 mg/5ml powder for reconstitution,MGH_CC,706300,1,1,True,,,1
Minocycline (minocin) - LMR 1188,PAML-LMR,1188,1,1,True,,,1
Acetaminophen 325mg tablet 100 ea blist pack,BWH_CC,942737,0,0,True,,,0
Hydrocodone 5 mg-Acetaminophen 300 mg Tablet,EPIC-MED,70449,0,0,True,,,0
Mapap (Acetaminophen) 325 mg Tablet,EPIC-MED,4755,0,0,True,,,0
Keflex Oral,EPIC-MED,139329,1,1,True,,,1
Pramoxine-camphor-zinc acetate lotion,EPIC-MED,9884,0,0,True,,,0
Acetaminophen-Codeine Oral,EPIC-MED,128337,0,0,True,,,0
Hydrocodone 7.5 mg-Acetaminophen 300 mg Tablet,EPIC-MED,70832,0,0,True,,,0
Hydrocodone-Acetaminophen 10 mg-300 mg/15 ml Oral Solution,EPIC-MED,106642,0,0,True,,,0
Doxycycline hyclate - LMR 255,LMR,255,1,1,True,,,1
Tetracaine 0.5% - LMR 3224,LMR,3224,0,0,True,,,0
Aminocaproic Acid 250 mg/ml (25 %) Oral Solution,EPIC-MED,9062,0,0,True,,,0
Azithromycin ivpb 250 ml fdfm nsm,EPIC-MED,4004080009,0,0,True,,,0
Pramoxine 1 % Topical Foam,EPIC-MED,19749,0,0,True,,,0
Acetaminophen 120 mg Rectal Suppository,EPIC-MED,103,0,0,True,,,0
Sulfamethoxazole-Trimethoprim  IVPB In 500 ml,EPIC-MED,4004082095,0,0,True,,,0
Acetaminophen 160 mg/5 ml (5 ml) Oral Solution,EPIC-MED,126008,0,0,True,,,0
Acetaminophen w codeine e,MGH_CC,708460,0,0,True,,,0
Amoxicillin/clav.susp 200 mg/28.5mg (5 ml) - LMR 3426,LMR,3426,0,0,True,,,0
Augmentin es-600 (amoxicillinclav. susp 600mg 42.9mg (5 ml)) - LMR 4868,LMR,4868,0,0,True,,,0
"Injection, sulfamethoxazole",HCPCS,S0039,0,0,True,,,0
Sulfamethoxazole 400 mg-Trimethoprim 80 mg/5 ml Intravenous Solution,EPIC-MED,7556,0,0,True,,,0
"Lidocaine 4 %-Epinephrine Bitart 1:1,000-Tetracaine 0.5 % Topical Soln",EPIC-MED,161070,0,0,True,,,0
Amoxicillin 125 mg-Potassium Clavulanate 31.25 mg/5 ml Oral Susp,EPIC-MED,9079,0,0,True,,,0
Amoxicillin 400 mg-Potassium Clavulanate 57 mg/5 ml Oral Suspension,EPIC-MED,33230,0,0,True,,,0
Acetaminophen 120mg suppository,MGH_CC,700210,0,0,True,,,0
Cephalexin monohydrate 250 mg/5ml powder for reconstitution,MGH_CC,721720,1,1,True,,,1
Trimethoprim and sulfamethoxazole double strength-oncall,ONCALL,DSNA4,1,1,True,,,1
Doxycycline capsules-oncall,ONCALL,DSFD6-V,1,1,True,,,1
Acetaminophen 120 mg-Codeine 12 mg/5 ml Oral Solution,EPIC-MED,116259,0,0,True,,,0
Aminocaproic Acid 500 mg Tablet,EPIC-MED,9063,0,0,True,,,0
Aminocaproic Acid  IVPB 100 ml,EPIC-MED,4004081363,0,0,True,,,0
Aminocaproic Acid  IVPB 50 ml,EPIC-MED,4004081364,0,0,True,,,0
Oxycodone-Acetaminophen 5 mg-325 mg/5 ml Oral Solution,EPIC-MED,17847,0,0,True,,,0
Doxycycline  IVPB 200 mg (250 ml),EPIC-MED,4004081177,0,0,True,,,0
Tigecycline  IVPB 100 ml,EPIC-MED,4004082294,0,0,True,,,0
"Injection, tigecycline, 1 mg",HCPCS,J3243,0,0,True,,,0
Tigecycline 50 mg Intravenous Solution,EPIC-MED,41652,0,0,True,,,0
Aminocaproic Acid 250 mg/ml Intravenous Solution,EPIC-MED,403,0,0,True,,,0
Doxycycline injection-oncall,ONCALL,DSEA1,0,0,True,,,0
Acetaminophen and codeine-oncall,ONCALL,WSGR9,0,0,True,,,0
Minocycline 4 % topical foam,EPIC-MED,203412,0,0,True,,,0
Tetracycline 250 mg Capsule,EPIC-MED,7796,1,1,True,,,1
Lidocaine 4 %-racepinephrine 0.05 %-tetracaine 0.5 % topical gel,EPIC-MED,195433,0,0,True,,,0
Azithromycin  IVPB 150 ml,EPIC-MED,4004082079,0,0,True,,,0
Amoxicillinclav. acid 400mg 57mg chewable - LMR 5894,LMR,5894,0,0,True,,,0
Amoxicillin/clavulanic acid 400 -57mg - LMR 4234,LMR,4234,0,0,True,,,0
Sulfamethoxazole/trimetho,BWH_CC,940058,1,1,True,,,1
Sulfamethoxazole-trimethoprim 400mg-80mg tablet,BWH_CC,907556,1,1,True,,,1
Acetaminophen-Caffeine-Pyrilamine 500 mg-60 mg-15 mg Tablet,EPIC-MED,20236,0,0,True,,,0
Amoxicillin 600 mg-Potassium Clavulanate 42.9 mg/5 ml Oral Suspension,EPIC-MED,31177,0,0,True,,,0
Azithromycin susp 100 mg/5,MGH_CC,701240,1,1,True,,,1
Hydrocodone/acetaminophen 7.5 mg/500mg - LMR 6725,LMR,6725,0,0,True,,,0
Amoxicillin/potassium clav 875/125mg tablet 100 ea bottle,BWH_CC,951633,0,0,True,,,0
Acetaminophen 500mg table,BWH_CC,940265,0,0,True,,,0
Aminophylline (2.5 mg/ml) 25mg injection 10 ml,BWH_CC,908163,0,0,True,,,0
Minoxidil 10 mg Tablet,EPIC-MED,5114,0,0,True,,,0
Sulfamethoxazole-Trimethoprim  IVPB In 250 ml,EPIC-MED,4004081535,0,0,True,,,0
Oxycodone-Acetaminophen 10 mg-300 mg Tablet,EPIC-MED,76414,0,0,True,,,0
Tamoxifen Oral,EPIC-MED,148268,0,0,True,,,0
Doxycycline  IVPB 250 ml,EPIC-MED,4004082348,0,0,True,,,0
Hydrocortisone-Pramoxine 2.5 %-1 % Topical Cream,EPIC-MED,11104,0,0,True,,,0
Minoxidil - LMR 2091,LMR,2091,0,0,True,,,0
Vigamox-oncall,ONCALL,HTBW3-1,0,0,True,,,0
Acetaminophen and codeine (tylenol with codeine #3 )tablets-oncall,ONCALL,WSGR9-4T,0,0,True,,,0
Acetaminophen w/codeine 12 mg/5 mls - LMR 2407,PAML-LMR,2407,0,0,True,,,0
Tetrahydrozoline 0.05 % Eye Drops,EPIC-MED,7800,0,0,True,,,0
Amoxicillin Oral,EPIC-MED,129372,1,1,True,,,1
Amoxicillin 200 mg-Potassium Clavulanate 28.5 mg/5 ml Oral Suspension,EPIC-MED,33229,0,0,True,,,0
Oxycodone-Acetaminophen 7.5 mg-325 mg Tablet,EPIC-MED,31863,0,0,True,,,0
Sulfamethoxazole-trimethoprim 80mg-16 mg/ml solution,MGH_CC,723510,1,1,True,,,1
Doxycycline 100 mg/d 5 w 100 ml,MGH_CC,860,1,1,True,,,1
Hydrocortisone/pramox foam - LMR 2766,LMR,2766,0,0,True,,,0
Trimethobenzamide hcl - LMR 767,LMR,767,0,0,True,,,0
Acetaminophen-propoxyphene napsylate napsylate 650mg-100mg tablet,BWH_CC,909867,0,0,True,,,0
Amino Acids 4.25 % With Lytes And Calcium In D5w Intravenous Solution,EPIC-MED,27947,0,0,True,,,0
Aminocaproic Acid Infusion 20 mg/ml (250 ml) Fail Safe,EPIC-MED,7004080021,0,0,True,,,0
Acetaminophen 120 mg-Codeine 12 mg/5 ml Oral Suspension,EPIC-MED,8947,0,0,True,,,0
Amoxicillin/clav. susp 125 mg/31.25mg (5 ml) - LMR 4865,LMR,4865,0,0,True,,,0
Magnesium Oxide-Magnesium Amino Acid Chelate 133 mg Tablet,EPIC-MED,125882,0,0,True,,,0
Lidocaine-Tetracaine 7 %-7 % Topical Cream,EPIC-MED,160752,0,0,True,,,0
Doxycycline Hyclate 150 mg Tablet,EPIC-MED,175196,1,1,True,,,1
Minocycline 50mg capsule,MGH_CC,254200,1,1,True,,,1
Acetaminophen 160 mg Chewable Tablet,EPIC-MED,8941,0,0,True,,,0
Lidocaine 4%-Epinephrine 0.05%-Tetracaine 0.5% Topical Gel Cmpd BWH,EPIC-MED,700220,0,0,True,,,0
Sulfamethoxazole-Trimethoprim  IVPB 0.64 mg/ml,EPIC-MED,4004082731,0,0,True,,,0
Doxycycline Calcium Oral,EPIC-MED,135121,1,1,True,,,1
Doxycycline 50 mg/5 ml Syrup,EPIC-MED,2621,1,1,True,,,1
Aminocaproic Acid  IVPB 250 ml,EPIC-MED,4004081362,0,0,True,,,0
Aminocaproic Acid Infusion 60 mg/ml (250 ml),EPIC-MED,4004081366,0,0,True,,,0
Aminocaproic Acid Bolus From Infusion 60 mg/ml (Premix),EPIC-MED,700631,0,0,True,,,0
"Lidocaine 70 mg-Tetracaine 70 mg Patch, Medicated Self-Heating",EPIC-MED,76337,0,0,True,,,0
Acetaminophen 160 mg/5ml liquid,MGH_CC,707210,0,0,True,,,0
Sulfamethoxazole 200 mg-Trimethoprim 40 mg/5 ml Oral Suspension,EPIC-MED,22560,1,1,True,,,1
Zithromax 250 mg Tablet,EPIC-MED,20942,1,1,True,,,1
Azithromycin ivpb 125 ml ped,EPIC-MED,2004080247,0,0,True,,,0
Azithromycin syr in ns 2 mg/ml (ped),EPIC-MED,4004082278,1,1,True,,,1
Acetaminophen 32 mg/ml Oral Syringe  (For Oral Use Only),EPIC-MED,168724,0,0,True,,,0
Amoxicillin 200 mg/5 ml Oral Suspension,EPIC-MED,25245,1,1,True,,,1
Azithromycin susp 200 mg/5,MGH_CC,701250,1,1,True,,,1
Aminophylline inj 2 mg,MGH_CC,704620,0,0,True,,,0
Acetaminophen 120 mg/3.75ml oral syr,MGH_CC,1896,0,0,True,,,0
Inj Acetaminophen 10mg HC (MGH),EPIC-PRC,47563374,0,0,True,,,0
Cotrimox susp 400mg-80 mg/10 ml,MGH_CC,598,1,1,True,,,1
Acetaminophen 80 mg/2.5ml oral syr,MGH_CC,1898,0,0,True,,,0
Trimethoprim/sulfamethoxazole suspension - LMR 1256,PAML-LMR,1256,1,1,True,,,1
Amoxicillin/clav.susp 250 mg/62.5mg (5 ml) - LMR 1105,PAML-LMR,1105,0,0,True,,,0
Diphenhydramine 25 mg-Acetaminophen 500 mg Tablet,EPIC-MED,18836,0,0,True,,,0
Doxycycline ivpb 100 mg (100 ml) vtd,EPIC-MED,2004080244,0,0,True,,,0
Azithromycin  IVPB 250 ml,EPIC-MED,4004082078,0,0,True,,,0
Hydrocodone/acetaminophen 5 -325mg tablet 100 ea blist pack,BWH_CC,953689,0,0,True,,,0
Minocycline 75 mg Capsule,EPIC-MED,25373,1,1,True,,,1
Cephalexin Oral,EPIC-MED,132347,1,1,True,,,1
"Minocycline Er 90 mg Tablet,Extended Release 24 Hr",EPIC-MED,76450,1,1,True,,,1
Butalbital-Acetaminophen 50 mg-300 mg Tablet,EPIC-MED,114171,0,0,True,,,0
Amoxicillin (amoxil amox) - LMR 43,PAML-LMR,43,1,1,True,,,1
Cephalexin monohydrate 500mg capsule 100 ea bottle,BWH_CC,947487,1,1,True,,,1
Children's Acetaminophen 160 mg/5 ml Oral Suspension,EPIC-MED,126626,0,0,True,,,0
Acetaminophen 80 mg Disintegrating Tablet,EPIC-MED,27883,0,0,True,,,0
Mapap (Acetaminophen) 160 mg/5 ml Oral Liquid,EPIC-MED,125421,0,0,True,,,0
Acetaminophen Rect,EPIC-MED,128331,0,0,True,,,0
Zithromax Z-Pak Oral,EPIC-MED,150967,1,1,True,,,1
"Doxylamine 20 mg-pyridoxine 20 mg tablet,immediate and delayed release",EPIC-MED,197583,0,0,True,,,0
Acetaminophen 100mg 1ml oral drops - LMR 4828,LMR,4828,0,0,True,,,0
"Doxycycline Hyclate 50 mg Tablet,Delayed Release",EPIC-MED,183346,1,1,True,,,1
Amino Acids-Protein Hydrolysate 15 Gram-100 Kcal/30 ml Oral Liquid Pkt,EPIC-MED,160466,0,0,True,,,0
Lidocaine 4 %-epinephrine 0.18 %-tetracaine 0.5 % topical gel,EPIC-MED,206530,0,0,True,,,0
Minoxidil 5% - LMR 3422,LMR,3422,0,0,True,,,0
Trimethobenzamide 300 mg Capsule,EPIC-MED,32311,0,0,True,,,0
Trimethobenzamide hcl - LMR 767,PAML-LMR,767,0,0,True,,,0
Minoxidil 5% - LMR 3422,PAML-LMR,3422,0,0,True,,,0
Acetaminophen 500mg tablet 750 ea blist pack,BWH_CC,951530,0,0,True,,,0
Phenylephrine-Dm-Acetaminophen 10 mg-20 mg-650 mg Oral Powder Packet,EPIC-MED,94145,0,0,True,,,0
Pramoxine + hydrocortisone 1% - LMR 2419,LMR,2419,0,0,True,,,0
Diclegis (doxylamine/pyridoxine delayed release) - LMR 9058,LMR,9058,0,0,True,,,0
Amoxicillin trihydrate 250mg capsule 100 ea blist pack,BWH_CC,946847,1,1,True,,,1
Acetaminophen-hydrocodone bitartrate 500mg-5mg tablet,BWH_CC,911153,0,0,True,,,0
Sodium Tetradecyl Sulfate 1 % (10 mg/ml) Intravenous Solution,EPIC-MED,41787,0,0,True,,,0
Sodium Tetradecyl Sulfate 3 % (30 mg/ml) Intravenous Solution,EPIC-MED,41793,0,0,True,,,0
Butalbital acetaminophen and caffeine-oncall,ONCALL,WSHX9,0,0,True,,,0
Doxycycline hyclate 50 mg tablet,EPIC-MED,191022,1,1,True,,,1
Tamoxifen 10 mgtab,BWH_CC,914565,0,0,True,,,0
Oxycodone-Acetaminophen (Percocet 5/325) Combo Tab,EPIC-MED,2004080263,0,0,True,,,0
Amoxicillin 250 mg/5ml powder for reconstitution,BWH_CC,903513,1,1,True,,,1
Amoxil 125 mg/5ml powder for reconstitution,BWH_CC,905154,1,1,True,,,1
Chlorpheniramine 2 mg-Dm 15 mg-Acetaminophen 500 mg Tablet,EPIC-MED,32394,0,0,True,,,0
Doxycycline Monohydrate 25 mg/5 ml Oral Suspension,EPIC-MED,9902,1,1,True,,,1
Meclocycline sulfosalicylate - LMR 1728,LMR,1728,0,0,True,,,0
Tetracycline hcl - LMR 730,PAML-LMR,730,1,1,True,,,1
Amox tr/potassium clavulanate 875 -125mg tablet 100 ea blist pack,BWH_CC,941783,0,0,True,,,0
Azithromycin  IVPB 250 mg (250 ml),EPIC-MED,4004081150,0,0,True,,,0
Amoxicillin 500mg capsule,MGH_CC,62100,1,1,True,,,1
Oxycodone 5 mg/acetaminophen 500mg - LMR 4923,LMR,4923,0,0,True,,,0
Bactrim ss-oncall,ONCALL,DSPJ1-8,1,1,True,,,1
Acetaminophen 500mg tablet 100 ea blist pack,BWH_CC,941537,0,0,True,,,0
Sulfamethoxazole-trimethoprim 80mg-16 mg/ml solution,BWH_CC,907049,1,1,True,,,1
Aminocaproic acid 15gm in sodium chloride 0.9% 250ml bag,BWH_CC,946162,0,0,True,,,0
Azithromycin 250mg tablet 50 ea blist pack,BWH_CC,945387,1,1,True,,,1
Azithromycin 250 mg tablet to-go mgh_cdh,EPIC-MED,707533,1,1,True,,,1
Azithromycin  IVPB 250 mg _ MGH (125 ml),EPIC-MED,1004088006,0,0,True,,,0
Percocet 7.5 mg/325mg (oxycodone 7.5 mg/acetaminophen 325 mg) - LMR 4921,LMR,4921,0,0,True,,,0
Acetaminophen + pyrilamine - LMR 2521,LMR,2521,0,0,True,,,0
Sulfamethoxazole/trimethoprim 400mg tablet 100 ea bottle,BWH_CC,945893,1,1,True,,,1
Amoxicillin 125 mg/5ml suspension 100ml bottle,BWH_CC,908304,1,1,True,,,1
Aminoglutethimide - LMR 38,LMR,38,0,0,True,,,0
Hydrocodone/acetaminophen 7.5/500mg per 15ml - LMR 7877,LMR,7877,0,0,True,,,0
"Minocycline Er 135 mg Tablet,Extended Release 24 Hr",EPIC-MED,76451,1,1,True,,,1
Aminocaproic acid 5gm vial 20ml vial,BWH_CC,942197,0,0,True,,,0
Acetaminophen 120 mg-Codeine 12 mg/5 ml (5 ml) Oral Solution,EPIC-MED,160623,0,0,True,,,0
Augmentin 400 mg/57mg (5 ml) (amoxicillin/clav. susp 400 mg/57mg (5 ml)) - LMR 4862,PAML-LMR,4862,0,0,True,,,0
Aminophylline 500mg vial 20ml vial,BWH_CC,941564,0,0,True,,,0
Cephalexin monohydrate 250 mg/5ml powder for reconstitution,BWH_CC,910794,1,1,True,,,1
Azithromycin 600 mg Tablet,EPIC-MED,17387,1,1,True,,,1
Sulfamethoxazole/trimethoprim 400 -80mg tablet 100 ea bottle,BWH_CC,943822,1,1,True,,,1
Butalbital-Acetaminophen-Caffeine 50 mg-500 mg-40 mg Tablet,EPIC-MED,8959,0,0,True,,,0
Dm-Pe-Acetam/Dm-Acetam-Doxylam 10-5-325mg(D)/15-325-6.25mg Capsules,EPIC-MED,81791,0,0,True,,,0
Amino Acids 3% With Electrolytes And Glycerin Intravenous,EPIC-MED,9041,0,0,True,,,0
Hydrocortisone-Pramoxine 1 %-1 % Topical Foam,EPIC-MED,11105,0,0,True,,,0
Percocet 7.5 mg/325mg (oxycodone 7.5 mg/acetaminophen 325 mg) - LMR 4921,PAML-LMR,4921,0,0,True,,,0
Amox tr/potassium clavulanate 875 -125mg tablet 100 ea bottle,BWH_CC,940474,0,0,True,,,0
Amoxicillin trihydrate 250 mg/5ml susp recon 100ml bottle,BWH_CC,940648,1,1,True,,,1
Zithromax 600mg tablet,BWH_CC,910992,1,1,True,,,1
Doxycycline  IVPB 150 ml,EPIC-MED,4004082711,0,0,True,,,0
Doxycycline In D5w  IVPB 1 mg/ml (100 ml) Cmpd MGH,EPIC-MED,701193,0,0,True,,,0
Amoxicillin capsules-oncall,ONCALL,DSHR3-V,1,1,True,,,1
Oxycodone 10 mg/acetaminophen 650mg - LMR 3374,PAML-LMR,3374,0,0,True,,,0
Azithromycin 250mg tablet 50 ea blist pack,BWH_CC,943240,1,1,True,,,1
Doxycycline Hyclate 100 mg Intravenous Powder 50 mg/ml Dilution (For Intrapleural Injection),EPIC-MED,705070,0,0,True,,,0
Doxycycline 1 G+lido 1% 20 ml+ Nacl 60 ml Sclerosing Injection,EPIC-MED,4004083567,0,0,True,,,0
Azithromycin Skin Test 100 mg/ml,EPIC-MED,707003,0,0,True,,,0
Azithromycin skin test 0.001 mg/ml,EPIC-MED,707004,0,0,True,,,0
Azithromycin skin test 0.01 mg/ml,EPIC-MED,707005,0,0,True,,,0
Sulfamethoxazole-Trimethoprim Skin Test 80-16 mg/ml,EPIC-MED,707032,0,0,True,,,0
Sulfamethoxazole-trimethoprim skin test 0.08-0.016 mg/ml,EPIC-MED,707033,0,0,True,,,0
Sulfamethoxazole-trimethoprim skin test 0.8-0.16 mg/ml,EPIC-MED,707034,0,0,True,,,0
Tpn adult amino acid 10% 0 ml-1,MGH_CC,1566,0,0,True,,,0
Tpn adult amino acid 10% 1601 m,MGH_CC,1568,0,0,True,,,0
Trimethoprim tab 1,MGH_CC,897860,1,1,True,,,1
Tetracycline hydrochloride 250mg capsule,MGH_CC,891590,1,1,True,,,1
Diamox-oncall,ONCALL,HSAX1-1,0,0,True,,,0
Sodium tetradecyl sulfate 3% vial 2ml vial,BWH_CC,942744,0,0,True,,,0
Acetaminophen 650 mg/20.3 ml Oral Suspension,EPIC-MED,88505,0,0,True,,,0
Aminophylline 500 mg/20 ml Intravenous Solution,EPIC-MED,120892,0,0,True,,,0
Pramoxine + hydrocortisone 2.5% - LMR 2423,PAML-LMR,2423,0,0,True,,,0
Pramoxine + hydrocortisone 1% - LMR 2419,PAML-LMR,2419,0,0,True,,,0
Aminophylline 250 mg/10ml vial 10ml vial,BWH_CC,942272,0,0,True,,,0
"Arthritis Pain Relief (Acetaminophen) Er 650 mg Tablet,Extend Release",EPIC-MED,30383,0,0,True,,,0
Sleep Aid (Doxylamine) 25 mg Tablet,EPIC-MED,7280,0,0,True,,,0
Doxycycline monohydrate - LMR 5514,PAML-LMR,5514,1,1,True,,,1
Amoxicillin/clav. susp 125 mg/31.25mg (5 ml) - LMR 4865,PAML-LMR,4865,0,0,True,,,0
Amino Acids-Protein Hydrolys Oral,EPIC-MED,129265,0,0,True,,,0
Minocycline hydrochloride 100mg capsule,BWH_CC,910326,1,1,True,,,1
Benzocaine-trimethobenzamide adult 2%-200mg suppository,BWH_CC,909332,0,0,True,,,0
Amoxicillin trihydrate 500mg capsule 100 ea blist pack,BWH_CC,946291,1,1,True,,,1
Acetaminophen 80 mg Chewable Tablet,EPIC-MED,99,0,0,True,,,0
Trimethoprim sulfamethoxazole - LMR 770,LMR,770,1,1,True,,,1
Amino Acids 2.75 % With Lytes And Calcium In D5w Intravenous Solution,EPIC-MED,27946,0,0,True,,,0
Acetaminophen 325mg suppos,MGH_CC,72700,0,0,True,,,0
Sulfamethoxazole-trimethoprim 80mg-16 mg/ml solution,MGH_CC,723520,1,1,True,,,1
Sulfamethoxazole-Trimethoprim  IVPB In 375 ml,EPIC-MED,4004082320,0,0,True,,,0
Cephalexin 250 mg Tablet,EPIC-MED,9503,1,1,True,,,1
"Doxycycline Hyclate 75 mg Tablet,Delayed Release",EPIC-MED,42105,1,1,True,,,1
Tetracaine hydrochloride ophthalmic 0.5% solution,BWH_CC,909875,0,0,True,,,0
Cephalexin monohydrate monohydrate 500mg capsule,BWH_CC,910387,1,1,True,,,1
Aminolevulinic Acid Hcl Top HC,EPIC-PRC,63601031,0,0,True,,,0
Acetaminophen 500 mg/15 ml Oral Liquid,EPIC-MED,24421,0,0,True,,,0
Mapap (Acetaminophen) 80 mg Chewable Tablet,EPIC-MED,4754,0,0,True,,,0
Acetaminophen w/ codeine 15mg - LMR 2070,PAML-LMR,2070,0,0,True,,,0
Tamoxifen citrate 10mg tablet 100 ea blist pack,BWH_CC,945298,0,0,True,,,0
Amox./clav.acid 250/125 (augmentin) - LMR 44,PAML-LMR,44,0,0,True,,,0
Hydrocodone 10 mg-Acetaminophen 300 mg Tablet,EPIC-MED,39033,0,0,True,,,0
Acetaminophen supp 325 mg,MGH_CC,707270,0,0,True,,,0
Cephalexin 125 mg/5 ml Oral Suspension,EPIC-MED,9501,1,1,True,,,1
Aminocaproic acid - LMR 1197,LMR,1197,0,0,True,,,0
Doxycycline (dental) hyclate - LMR 5189,PAML-LMR,5189,1,1,True,,,1
Acetaminophen - LMR 5,PAML-LMR,5,0,0,True,,,0
Nighttime Sleep-Aid (Doxylamine) 25 mg Tablet,EPIC-MED,179792,0,0,True,,,0
Tpn adult amino acid 10% 1101 m,MGH_CC,1567,0,0,True,,,0
Tpn adult amino acid 15% 1101 m,MGH_CC,1570,0,0,True,,,0
Tpn adult amino acid 15% 1601 m,MGH_CC,1571,0,0,True,,,0
Augmentin es-600 (amoxicillinclav. susp 600mg 42.9mg (5 ml)) - LMR 4868,PAML-LMR,4868,0,0,True,,,0
Azithromycin ivpb 500 mg vtd (250 ml) vtd,EPIC-MED,4004082621,0,0,True,,,0
Mapap (Acetaminophen) 500 mg/15 ml Oral Liquid,EPIC-MED,100346,0,0,True,,,0
Aminocaproic acid - LMR 1197,PAML-LMR,1197,0,0,True,,,0
Pramoxine-Calamine 1 %-8 % Lotion,EPIC-MED,13384,0,0,True,,,0
Butalbital 50 mg-Acetaminophen 300 mg-Caffeine 40 mg-Codeine 30 mg Cap,EPIC-MED,168794,0,0,True,,,0
Acetaminophen-codeine phosphate 120mg-12 mg/5ml liquid,BWH_CC,907777,0,0,True,,,0
Minocycline ivpb (250 ml),EPIC-MED,7004089824,0,0,True,,,0
"Injection, minocycline hydrochloride, 1 mg",HCPCS,J2265,0,0,True,,,0
Minocycline 100 mg Intravenous Solution,EPIC-MED,10612,0,0,True,,,0
Amoxicillin suspension-oncall,ONCALL,DSHR3-Z,1,1,True,,,1
Oxycodone-Acetaminophen 7.5 mg-500 mg Tablet,EPIC-MED,26637,0,0,True,,,0
Azithromycin (Bulk) Misc,EPIC-MED,130153,1,1,True,,,1
Propoxyphene nap/acetaminophen 50/325 - LMR 4203,PAML-LMR,4203,0,0,True,,,0
Unisom (doxylamine) oral,EPIC-MED,173994,0,0,True,,,0
Doxycycline  IVPB 100 mg (100 ml),EPIC-MED,4004081176,0,0,True,,,0
Trimethoprim Oral,EPIC-MED,149152,1,1,True,,,1
Phenylephrine-Pramoxine-Glycerin-White Pet 0.25 %-1 % Rectal Cream,EPIC-MED,77868,0,0,True,,,0
Hexaminolevulinate 100 mg intravesical solution,EPIC-MED,106120,0,0,True,,,0
Azithromycin 100 mg/5ml susp,MGH_CC,12400,1,1,True,,,1
Minocycline extended release - LMR 7238,LMR,7238,1,1,True,,,1
Zithromax suspension (azithromycin suspension) - LMR 4892,PAML-LMR,4892,1,1,True,,,1
Minocycline hcl 100mg capsule 50 ea blist pack,BWH_CC,952574,1,1,True,,,1
